id,orig,dest,amount,price,lw,uw,selected
0,0,6,28,10000,32,80,1
1,0,9,23,10000,58,106,1
2,0,7,21,10000,87,135,1
3,2,4,12,10000,14,38,1
4,0,6,17,10000,92,140,1
5,1,9,30,10000,24,48,1
6,1,3,21,10000,64,136,1
7,0,5,24,10000,89,137,1
8,0,4,22,10000,32,56,1
9,1,4,19,10000,83,131,1
10,1,5,24,10000,85,133,1
11,0,5,18,10000,33,57,1
12,1,6,28,10000,47,119,1
13,0,8,25,10000,46,70,1
14,1,9,16,10000,81,129,1
15,1,8,13,10000,104,176,1
16,0,9,22,10000,19,43,1
17,0,8,27,10000,95,143,1
18,0,3,12,10000,17,65,1
19,0,4,20,10000,18,42,1
20,1,6,29,10000,84,132,1
21,1,9,30,10000,1,73,1
22,0,9,21,10000,58,130,1
23,0,6,28,10000,69,141,1
24,1,7,15,10000,80,104,1
25,0,7,25,10000,107,179,1
26,1,7,29,10000,70,94,1
27,0,9,20,10000,102,126,1
28,0,7,10,10000,74,122,1
29,0,6,14,10000,15,39,1
30,0,4,10,10000,77,125,1
31,0,7,20,10000,65,113,1
32,0,6,27,10000,105,153,1
33,0,6,23,10000,51,75,1
34,2,3,12,10000,18,42,1
35,0,7,11,10000,112,160,1
36,1,3,28,10000,113,185,1
37,1,8,20,10000,22,70,1
38,0,3,29,10000,37,85,1
39,0,6,23,10000,4,76,1
40,0,8,17,10000,54,78,1
41,0,7,16,10000,108,132,1
42,2,6,24,10000,120,168,1
43,0,6,26,10000,99,123,1
44,0,5,11,10000,63,111,1
45,0,4,29,10000,82,130,1
46,2,3,25,10000,89,137,1
47,0,7,16,10000,17,41,1
48,2,3,15,10000,7,55,1
49,0,9,14,10000,12,60,1
